"","...1","district_code","1-3 Points","5-8 Points","9-12 Points","12+ Points","Total","cluster","penalty_group","penalty_rank","PCA1","PCA2"
"1",1,"AB",16070,3304,63,3,19641,1,"Low Risk","1",-10.3419128319518,-0.11169164904414
"2",2,"AL",7786,2534,81,6,10488,2,"Medium Risk","2",0.216745730794902,-0.0209484773597247
"3",3,"BA",17361,4730,121,16,22328,1,"Low Risk","1",-4.38967149520386,0.229100671886867
"4",4,"BB",18816,7435,269,46,26795,2,"Medium Risk","2",5.60403004464434,-0.176853946442501
"5",5,"BD",23654,10376,518,82,35040,3,"High Risk","3",8.87297124411894,-0.790694484498645
"6",6,"BH",23654,6550,123,14,30468,1,"Low Risk","1",-4.09245264805163,0.426426762972443
"7",7,"BL",12330,4209,127,21,16791,2,"Medium Risk","2",1.4231294552922,0.0956400293598998
"8",8,"BN",26813,8345,247,37,35673,2,"Medium Risk","2",-0.985557107975102,0.0604788778913683
"9",9,"BR",10857,4051,111,7,15227,2,"Medium Risk","2",4.02727713571234,-0.158524537411021
"10",10,"BS",42008,13023,342,42,55667,2,"Medium Risk","2",-1.20557937857414,0.27894754349603
"11",11,"CA",8765,2284,98,15,11244,1,"Low Risk","1",-5.12022549874283,-0.375358810094938
"12",12,"CB",10725,3400,100,11,14373,2,"Medium Risk","2",-0.409195479219888,-0.0951458873386263
"13",13,"CF",34252,11276,358,72,46385,2,"Medium Risk","2",0.606617549042327,-0.168854241084553
"14",14,"CH",21658,6660,217,61,28837,2,"Medium Risk","2",-1.14411367788063,-0.207154229919648
"15",15,"CM",22840,7378,202,29,30658,2,"Medium Risk","2",-0.0425859111996449,0.119990463427346
"16",16,"CO",12161,3689,117,18,16084,2,"Medium Risk","2",-1.62238643304977,0.0114085240294517
"17",17,"CR",12574,5644,157,22,18665,3,"High Risk","3",9.38455983963482,-0.179926628903827
"18",18,"CT",11134,3858,122,17,15255,2,"Medium Risk","2",1.90230206517473,-0.0444827198723798
"19",19,"CV",29626,9581,259,34,39692,2,"Medium Risk","2",-0.0954946379131196,0.257520469787297
"20",20,"CW",10535,3081,102,9,13815,1,"Low Risk","1",-2.52862539327525,-0.0182825886906373
"21",21,"DA",16235,6467,187,28,23118,2,"Medium Risk","2",5.74962095365459,0.0628744275371852
"22",22,"DD",7881,1867,37,5,9905,1,"Low Risk","1",-7.31149628502068,-0.154715524700017
"23",23,"DE",26630,8550,241,46,35677,2,"Medium Risk","2",-0.214662394875489,0.130227066835223
"24",24,"DG",4764,1304,57,8,6188,1,"Low Risk","1",-3.89552825726946,-0.476086126930316
"25",25,"DH",11955,3643,118,10,15825,2,"Medium Risk","2",-1.51739033820787,0.0247195345983447
"26",26,"DL",14575,4467,102,12,19286,2,"Medium Risk","2",-1.4470791973686,0.227535151541126
"27",27,"DN",27800,9678,328,69,38176,2,"Medium Risk","2",2.06653527052347,-0.134573134998064
"28",28,"DT",8664,1874,35,8,10655,1,"Low Risk","1",-9.44975167534631,0.0849133068219153
"29",29,"DY",15178,4678,120,16,20060,2,"Medium Risk","2",-1.40278538283264,0.357542067967736
"30",30,"EC",561,288,7,1,866,3,"High Risk","3",13.3326034679817,0.274629314186054
"31",31,"EH",24990,5393,99,9,30730,1,"Low Risk","1",-9.4816673198326,0.0697212760899948
"32",32,"EN",12057,5133,132,24,17475,3,"High Risk","3",7.60263957609123,0.269237369317143
"33",33,"EX",25521,7048,178,37,32970,1,"Low Risk","1",-4.00405623421142,0.144036311661032
"34",34,"FK",9375,1996,45,1,11532,1,"Low Risk","1",-9.62603418182908,-0.134221557669145
"35",35,"FY",7680,2819,99,15,10736,2,"Medium Risk","2",3.62542918972135,-0.33571642478191
"36",36,"GL",30489,8284,176,27,39110,1,"Low Risk","1",-4.54202766146746,0.389528426250103
"37",37,"GU",25710,8132,188,28,34264,2,"Medium Risk","2",-0.663468179662352,0.271821547040958
"38",38,"HA",14256,6663,172,31,21322,3,"High Risk","3",10.44384696282,0.199525473525583
"39",39,"HD",12441,4407,157,28,17172,2,"Medium Risk","2",2.55260939205751,-0.17367092029191
"40",40,"HG",5647,1713,47,11,7472,2,"Medium Risk","2",-1.60717306967352,0.0228405750910754
"41",41,"HP",22515,6678,138,20,29530,1,"Low Risk","1",-2.31286183919089,0.296356722252908
"42",42,"HR",6746,1712,42,1,8535,1,"Low Risk","1",-6.0979238756125,0.285288633374882
"43",43,"HS",568,134,4,0,718,1,"Low Risk","1",-7.10027369576579,-0.631172700005697
"44",44,"HU",13552,4536,178,39,18478,2,"Medium Risk","2",1.14107176815263,-0.399809333705246
"45",45,"HX",7865,2940,124,18,11079,2,"Medium Risk","2",4.21926016160491,-0.565786137880345
"46",46,"IG",11529,5798,171,21,17686,3,"High Risk","3",12.7168455578576,0.139057224211023
"47",47,"IP",22733,6711,186,27,29919,1,"Low Risk","1",-2.24238478733077,-0.0530404371911224
"48",48,"IV",7212,1785,47,1,9109,1,"Low Risk","1",-6.5119469027291,0.048655712150046
"49",49,"KA",10668,2543,51,3,13374,1,"Low Risk","1",-7.34498464406729,0.0768916829329863
"50",50,"KT",19525,7417,173,21,27392,2,"Medium Risk","2",4.363423801954,0.183504778038326
"51",51,"KW",1330,333,8,1,1692,1,"Low Risk","1",-6.03947276465154,-0.226744596445449
"52",52,"KY",10905,2544,53,3,13682,1,"Low Risk","1",-7.58593777500943,-0.245285856005731
"53",53,"LA",8062,2197,97,5,10473,1,"Low Risk","1",-3.95449798068472,-0.541267817760704
"54",54,"LD",1747,451,17,3,2237,1,"Low Risk","1",-5.33150148783456,-0.342903353151547
"55",55,"LE",36071,12141,425,82,49009,2,"Medium Risk","2",1.10249412836416,-0.0478380131567807
"56",56,"LL",15363,5049,165,37,20852,2,"Medium Risk","2",0.663101720635065,-0.34425328489509
"57",57,"LN",11710,3906,160,27,15891,2,"Medium Risk","2",0.909640443062521,-0.181760394211192
"58",58,"LS",34213,12548,460,99,47761,2,"Medium Risk","2",3.56511778021983,-0.287752660504741
"59",59,"LU",13039,4898,139,23,18322,2,"Medium Risk","2",4.21516323071745,-0.173134422987101
"60",60,"ME",24598,9238,248,40,34326,2,"Medium Risk","2",3.97624726362875,0.263755458300409
"61",61,"MK",19076,6278,166,20,25759,2,"Medium Risk","2",0.49011758267282,0.0618552360891777
"62",62,"ML",10631,2719,68,8,13575,1,"Low Risk","1",-5.58737818715622,-0.183657909976811
"63",63,"NE",28449,8319,283,35,37334,1,"Low Risk","1",-2.4999195668098,-0.0758405725853807
"64",64,"NG",44208,13597,434,78,58697,2,"Medium Risk","2",-1.25125386727762,-0.0211754474461585
"65",65,"NN",29433,10169,316,36,40234,2,"Medium Risk","2",1.76818920344754,0.0555803936442325
"66",66,"NP",20452,6654,224,40,27614,2,"Medium Risk","2",0.300730652707227,-0.192389804895657
"67",67,"NR",28036,8620,249,38,37277,2,"Medium Risk","2",-1.20392424480181,-0.0802832808997578
"68",68,"NW",15623,8275,227,32,24397,3,"High Risk","3",14.3310339885853,0.210836420235029
"69",69,"OL",15110,5579,167,31,21033,2,"Medium Risk","2",3.58257961518923,0.081856785715017
"70",70,"OX",23715,6781,122,16,30791,1,"Low Risk","1",-3.28442515661263,0.404216073479631
"71",71,"PA",9197,2038,36,1,11389,1,"Low Risk","1",-8.8319922240566,-0.0417647551714853
"72",72,"PE",33275,11206,401,89,45331,2,"Medium Risk","2",1.2104025455549,-0.211981105214279
"73",73,"PH",5472,1415,16,1,6954,1,"Low Risk","1",-5.65132631513224,0.375155998001763
"74",74,"PL",26413,9119,280,81,36132,2,"Medium Risk","2",1.78240013484177,-0.00670258001070567
"75",75,"PO",23162,6864,177,13,30410,1,"Low Risk","1",-2.28163695088573,0.173312199998642
"76",76,"PR",18620,6127,204,36,25237,2,"Medium Risk","2",0.631303089201956,-0.242457570683661
"77",77,"RG",29117,8544,162,18,38018,1,"Low Risk","1",-2.6604655436002,0.430083322474835
"78",78,"RH",20859,6144,157,17,27333,1,"Low Risk","1",-2.45385685951557,0.203379672428824
"79",79,"RM",18325,8936,238,46,27792,3,"High Risk","3",11.7371773342529,0.217762223727566
"80",80,"SA",27192,7970,267,34,35931,1,"Low Risk","1",-2.18785398261911,-0.455759083871127
"81",81,"SE",26315,12641,406,57,40100,3,"High Risk","3",11.5395396920807,-0.457254228904704
"82",82,"SG",12646,3648,95,8,16561,1,"Low Risk","1",-2.79522853161163,-0.0684172256814963
"83",83,"SK",19031,5505,177,25,24877,1,"Low Risk","1",-2.82442916881082,0.0227237248772506
"84",84,"SL",18600,6457,145,22,25335,2,"Medium Risk","2",1.71616897638694,0.44642414945822
"85",85,"SM",6301,2410,65,10,8906,2,"Medium Risk","2",4.74145899540049,-0.194508811630851
"86",86,"SN",14700,4562,91,17,19544,2,"Medium Risk","2",-1.06417037329702,0.154723870589772
"87",87,"SO",20163,5901,136,18,26431,1,"Low Risk","1",-2.53835346296739,0.108839467324154
"88",88,"SP",8323,2265,41,5,10703,1,"Low Risk","1",-4.41550316089494,0.288632065368804
"89",89,"SR",7556,2343,82,9,10050,2,"Medium Risk","2",-1.05185410427747,-0.0310314213419696
"90",90,"SS",17366,6087,180,32,23803,2,"Medium Risk","2",2.11508333310084,0.143265517159743
"91",91,"ST",19788,7016,200,29,27198,2,"Medium Risk","2",2.414419817432,0.180501138743519
"92",92,"SW",22015,10358,243,34,33067,3,"High Risk","3",10.6997597837423,0.110173319772103
"93",93,"SY",11966,3166,68,11,15335,1,"Low Risk","1",-4.96186311609182,0.0791225458523428
"94",94,"TA",16034,4420,109,19,20684,1,"Low Risk","1",-4.09169161862332,0.214026207610535
"95",95,"TD",2762,690,17,5,3528,1,"Low Risk","1",-5.89132566337169,-0.51200111093952
"96",96,"TF",11289,3300,84,13,14749,1,"Low Risk","1",-2.690088422573,0.272041485821274
"97",97,"TN",23335,7112,191,21,30874,2,"Medium Risk","2",-1.53707300810775,0.110065928720095
"98",98,"TQ",12524,3767,77,17,16468,1,"Low Risk","1",-1.99323201741015,0.349413552121902
"99",99,"TR",14994,4890,112,24,20148,2,"Medium Risk","2",0.153136376927275,0.249707588923318
"100",100,"TS",18088,6059,182,28,24547,2,"Medium Risk","2",0.974416145023047,0.00175181012043865
"101",101,"TW",19227,8702,223,34,28415,3,"High Risk","3",9.42926936252154,0.283336624658197
"102",102,"UB",12629,6070,180,17,19087,3,"High Risk","3",11.3317838133892,0.0917489330413531
"103",103,"UN",1358,490,16,1,1880,2,"Medium Risk","2",2.98064309269412,-0.00298773477040343
"104",104,"WA",23842,7273,239,33,31563,2,"Medium Risk","2",-1.49637944017591,0.0273020797898085
"105",105,"WC",488,224,6,1,729,3,"High Risk","3",10.0286365893371,-0.106661673576826
"106",106,"WD",10559,3602,105,17,14408,2,"Medium Risk","2",1.48350158461928,-0.026216174514775
"107",107,"WF",21672,8091,342,63,30447,2,"Medium Risk","2",4.10701093200776,-0.430502001641122
"108",108,"WN",9903,3027,108,17,13145,2,"Medium Risk","2",-1.35795888597019,-0.134224396016697
"109",109,"WR",12859,3563,68,7,16545,1,"Low Risk","1",-4.12945833942506,0.50076441932945
"110",110,"WS",16718,5555,166,17,22604,2,"Medium Risk","2",0.700923524991863,0.101832168955557
"111",111,"WV",13920,4984,149,22,19190,2,"Medium Risk","2",2.69447648174922,0.147529929789864
"112",112,"YO",21177,6247,180,40,27819,1,"Low Risk","1",-2.328044504197,0.0360095282206107
"113",113,"ZE",281,82,3,0,369,1,"Low Risk","1",-2.50405324153377,-0.162681996912116
